IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
441840111,Gambetta,44184,Saint-Nazaire,48.8,19.8,14450,20760,27600,0.63,7840,13000,15920,18460,23420,25970,29430,35690,4.6,5.5,0.293,65.3,60.3,3.2,1.8,31.3,3.4,0
441840112,Pertuischaud,44184,Saint-Nazaire,38,36.3,8820,16810,24940,0.96,730,7090,10630,13900,19910,22970,26910,32730,45,16.2,0.378,55.6,49,3.8,2.8,41.4,3,0
441840113,Parc paysager,44184,Saint-Nazaire,54.2,19.4,15150,22570,31530,0.73,7230,13240,17440,20080,25500,29300,33520,40690,5.6,7.4,0.334,54.8,47.5,2.4,4.9,41.8,3.4,0
441840114,Ville ès Martin,44184,Saint-Nazaire,58.1,16.3,16480,23840,33410,0.71,9610,14370,17970,20770,27050,31470,36040,45520,4.7,6.1,0.32,52.3,46.9,2.4,3,43.2,4.5,0
441840115,Prézégat-Berthauderie,44184,Saint-Nazaire,,,6160,12630,19470,1.05,330,4940,7480,9740,15060,17600,21090,25560,77.3,18.9,0.404,66.2,57.9,6.3,2,32.8,1,0
441840116,Québrais,44184,Saint-Nazaire,,,10680,19230,27240,0.86,4190,9160,12400,15650,22090,25200,29550,35700,8.5,9.7,0.358,57,50.9,3.4,2.7,40.2,2.8,0
441840117,Villeneuve,44184,Saint-Nazaire,55.8,13.6,17340,22760,28880,0.51,10350,15900,18470,20840,25010,27370,30680,37670,3.6,4.4,0.26,65.4,60.7,2.7,2,31.9,2.7,0
441840119,Chesnaie,44184,Saint-Nazaire,25.8,61.1,3660,10320,17520,1.34,0,2460,4840,7770,12710,15500,19440,24380,,56.3,0.456,74.5,,,,24.3,1.2,0
441840120,Reton-Plaisance,44184,Saint-Nazaire,40.6,24.9,13100,18790,24530,0.61,6550,11300,14040,16660,20960,23150,25820,30820,4.7,5.4,0.282,56,,,,42.4,1.6,0
441840122,Bouletterie,44184,Saint-Nazaire,23.9,62.1,4910,10120,16540,1.15,200,3250,6020,8080,12390,14940,17950,22700,114.3,28.2,0.423,68.3,59.8,7.7,0.8,30.8,0.9,0
441840123,Richarderie-Côte d'Amour,44184,Saint-Nazaire,46.9,22.5,14200,20680,27140,0.63,5210,11330,15120,18130,22680,25520,28840,34530,6.6,7.5,0.31,53,47.2,3.1,2.7,44.6,2.4,0
441840124,Trébale,44184,Saint-Nazaire,41.5,33.5,9640,17660,24640,0.85,3490,7430,11630,15030,20340,22920,26610,31380,9,10.7,0.346,59.3,54.4,3.8,1.1,39.1,1.6,0
441840125,Porcé,44184,Saint-Nazaire,49.5,26.1,12620,20470,29110,0.81,6030,10580,14340,17810,23640,26800,32680,42470,7,9.2,0.374,58.5,51.6,3.7,3.2,37.6,3.9,0
441840126,Kerledé,44184,Saint-Nazaire,47.3,25.1,12890,20300,27810,0.74,6540,11060,14690,17530,22410,25730,30050,36520,5.6,7,0.329,47.3,41.7,2.8,2.8,49.3,3.4,0
441840130,Saint-Marc Ouest,44184,Saint-Nazaire,66.9,9.4,20290,27300,36290,0.59,13440,18380,21970,24330,30390,34290,39570,50530,3.8,4.9,0.299,64,57.4,2.3,4.3,29.3,6.7,0
441840131,Saint-Marc Est,44184,Saint-Nazaire,65.9,9.9,19060,27150,36820,0.65,12990,17590,20980,23780,31080,34650,39590,51630,4,5.7,0.337,64.2,57.6,2.4,4.2,27.7,8.1,0
441840132,Landettes-Avalix,44184,Saint-Nazaire,46.4,30.5,10430,19440,26740,0.84,3540,8300,12670,16460,22390,24810,28560,35220,10,10.7,0.354,67.4,62.1,3.8,1.5,30.5,2.1,0
441840133,Immaculée Campagne,44184,Saint-Nazaire,64.8,8.4,19490,25040,32100,0.5,13680,18010,20290,22860,27620,30650,33780,41650,3,3.6,0.251,61,54.5,2.4,4.1,34,5,0
441840134,Immaculée Bourg,44184,Saint-Nazaire,61.3,10.9,18420,24770,31700,0.54,12660,17180,19730,22590,27210,30130,33780,40710,3.2,4.2,0.266,67.7,62.4,2.5,2.8,28.9,3.4,0
441900101,Centre,44190,Saint-Sébastien-sur-Loire,54.4,15.9,15830,22840,32070,0.71,9300,14330,17220,20090,25850,29870,34910,44700,4.8,6.2,0.332,65.7,57.6,2.7,5.4,29.7,4.6,0
441900102,Métairie,44190,Saint-Sébastien-sur-Loire,60.3,11.5,17910,24890,32840,0.6,12220,16430,19740,22500,27790,31090,35270,43460,3.6,4.5,0.283,66.5,58.3,2.8,5.4,29.3,4.2,0
441900103,Baugerie,44190,Saint-Sébastien-sur-Loire,58.6,16.3,16520,24070,34020,0.73,9640,14870,18000,20900,27580,31790,37060,45390,4.7,6.2,0.333,67.1,61,2.8,3.3,28.2,4.7,0
441900104,Martellière,44190,Saint-Sébastien-sur-Loire,58.9,19.1,15810,23590,33770,0.76,8520,13810,17230,19940,26590,31220,37330,46280,5.4,7.9,0.368,62.4,56.7,2.8,2.9,31.5,6.1,0
441900105,Douet,44190,Saint-Sébastien-sur-Loire,66.9,,19590,27100,36700,0.63,13880,18170,21770,24570,29990,33900,39780,49080,3.5,4.6,0.293,67.8,60.2,2.8,4.8,26.2,6,0
441900106,Joliverie,44190,Saint-Sébastien-sur-Loire,,,18520,26240,34470,0.61,12630,16930,20570,23610,29040,32160,38090,44600,3.5,4.8,0.289,70.8,65.1,1.8,3.9,26.1,3.1,0
441900107,Ouche Quinet,44190,Saint-Sébastien-sur-Loire,60.4,10.8,18380,25150,33230,0.59,12110,16940,19730,22320,27850,31360,35500,43410,3.6,4.5,0.28,72.4,66.7,2.5,3.2,24.5,3.1,0
441900108,Jaunaie-Profondine,44190,Saint-Sébastien-sur-Loire,59.6,8.7,18750,25150,32880,0.56,13760,17400,20070,22630,27800,30930,35230,43230,3.1,4.1,0.27,63.9,57.3,2.4,4.2,33.1,3,0
441900110,Fontaine-Portereau,44190,Saint-Sébastien-sur-Loire,52.7,17.1,15700,22370,29590,0.62,9070,14010,17270,19640,25360,28060,31610,36370,4,5,0.28,70.1,65.1,2.5,2.5,27.8,2.1,0
441900111,Savarières,44190,Saint-Sébastien-sur-Loire,58.4,15.6,16650,23510,30840,0.6,9920,14760,18120,20890,25900,28770,32830,40350,4.1,5.1,0.289,74.2,68,2.7,3.5,22.5,3.3,0
442150101,Centre Ville,44215,Vertou,55.1,14.2,17670,25620,35920,0.71,10300,15710,19430,22410,29520,33280,39690,51440,5,6.8,0.353,64.8,57.6,2,5.2,28.3,6.9,0
442150102,Planty-Viviers,44215,Vertou,67.4,,20180,26950,36470,0.6,15950,18670,21630,24430,30200,34010,40160,52520,3.3,4.9,0.33,64.1,56.3,2.2,5.6,27,8.9,0
442150103,Beautour,44215,Vertou,62,12.1,17920,24830,33180,0.61,12170,16220,19280,22090,27650,30900,35490,41570,3.4,4.4,0.272,70.2,64.6,2.4,3.2,26.5,3.3,0
442150105,Grammoire-Billardière,44215,Vertou,67.1,7.8,20180,28330,37340,0.61,14280,18230,22090,25130,31480,35280,41860,51140,3.6,4.8,0.305,69,60.7,2.3,6,24.6,6.4,0
442150106,La Grand Noé,44215,Vertou,,,20040,26590,37880,0.67,14890,18630,21290,23810,29860,34340,41090,53600,3.6,4.6,0.307,70.9,62.9,2.5,5.5,23,6.1,0
